Country,Infectious_and_parasitic_diseases,Respiratory_Infectious,Maternal_conditions,Neonatal_conditions,Nutritional_deficiencies,Malignant_neoplasms,Other_neoplasms,Diabetes_mellitus,Endocrine_blood_immune_disorders,Mental_and_substance_use_disorders,Neurological_conditions,Sense_organ_diseases,Cardiovascular_diseases,Respiratory_diseases,Digestive_diseases,Genitourinary_diseases,Skin_diseases,Musculoskeletal_diseases,Congenital_anomalies,Oral_conditions,Sudden_infant_death_syndrome,Unintentional_injuries,Intentional_injuries,id,Population
Norway,14.8,28.6,0.4,13.4,5.7,238.0,4.8,33.0,12.1,158.6,111.7,51.3,195.3,70.7,27.2,25.4,15.2,92.7,15.9,23.8,0.6,80.7,30.3,NOR,"5,255"
Oman,35.8,23.2,1.2,36.0,16.3,43.8,2.5,54.1,13.6,117.5,49.3,40.3,129.1,18.0,12.8,24.4,12.6,61.9,32.5,10.7,1.1,118.1,25.2,OMN,"4,425"
Pakistan,11628.5,6721.7,600.6,20017.1,2210.2,4615.6,154.3,1764.7,809.6,3866.5,2065.5,2109.1,10490.8,2592.9,2572.3,1742.6,705.2,1929.1,2747.2,358.5,402.4,6250.7,1693.7,PAK,"193,203"
Panama,78.7,36.1,4.2,51.1,14.8,96.8,5.6,50.3,9.6,75.0,48.8,53.5,121.1,38.4,28.7,30.9,12.5,44.8,41.1,12.4,0.4,67.7,61.0,PAN,"4,034"
Papua New Guinea,733.5,250.5,19.6,421.6,77.9,241.2,2.7,106.7,20.4,129.2,52.9,101.6,421.9,137.2,86.2,69.5,31.2,77.9,100.6,9.2,3.9,223.0,83.3,PNG,"8,085"
Paraguay,122.9,66.6,17.1,118.5,36.7,166.1,7.0,85.5,14.1,163.0,84.9,84.1,258.2,47.6,61.9,70.5,23.9,84.7,74.2,16.7,2.9,202.5,75.9,PRY,"6,725"
Peru,451.3,614.5,31.5,375.9,174.8,758.1,14.1,235.8,43.9,646.8,382.8,460.0,905.0,294.3,469.9,321.9,106.2,364.7,279.4,97.2,1.7,758.1,296.5,PER,"31,774"
Philippines,3231.3,2809.4,184.6,2458.0,541.7,2251.3,119.0,1200.2,302.3,1816.7,880.2,1361.7,6872.7,1724.9,865.2,1136.8,438.0,1187.2,929.7,194.0,46.6,1966.6,1386.7,PHL,"103,320"
Poland,115.3,316.6,2.1,118.4,75.4,2545.6,113.7,318.1,71.5,916.5,501.4,776.6,3401.1,435.2,533.1,211.4,95.8,661.3,139.1,166.0,2.6,1088.3,304.9,POL,"38,224"
Portugal,77.4,112.7,0.8,21.8,13.9,612.8,11.6,117.7,37.9,280.6,229.0,165.9,519.7,141.1,112.3,77.4,27.2,223.5,22.2,51.1,0.2,165.5,55.2,PRT,"10,372"
Qatar,10.8,5.8,0.4,10.5,3.9,24.5,0.2,25.4,2.7,63.1,23.6,17.2,38.0,7.4,8.0,11.4,5.6,31.8,13.0,5.3,0.3,55.2,21.6,QAT,"2,570"
Republic of Korea,224.2,310.9,4.3,116.8,114.2,2010.8,33.8,512.3,77.9,1243.3,734.1,598.2,1355.8,483.9,386.8,318.7,134.9,929.6,96.3,178.3,7.2,858.7,581.7,KOR,"50,792"
Republic of Moldova,32.8,49.6,1.1,34.1,12.8,202.9,3.3,27.0,6.2,121.2,48.8,62.2,527.4,30.6,140.6,30.5,10.7,64.6,27.6,15.0,0.5,122.4,41.7,MDA,"4,060"
Romania,130.0,214.5,3.5,86.6,71.1,1340.4,8.9,118.1,30.6,416.5,260.0,360.8,2601.4,250.2,451.7,186.3,47.4,344.2,73.0,87.6,0.8,593.8,104.6,ROU,"19,778"
Russian Federation,2745.9,1445.0,38.0,698.5,166.2,9484.3,46.6,769.5,234.6,5907.4,2132.2,2502.4,20681.9,1102.8,2774.6,1044.9,392.3,2284.9,719.8,602.0,66.4,6034.2,2999.3,RUS,"143,965"
Rwanda,976.7,326.5,56.1,507.4,166.9,326.4,9.4,59.2,29.4,245.7,102.9,110.2,261.1,96.2,137.5,54.7,47.6,73.6,161.4,16.9,9.6,486.1,145.4,RWA,"11,918"
Saint Lucia,2.2,1.3,0.2,2.2,0.9,7.0,0.3,3.5,1.1,4.2,2.2,2.5,9.8,2.3,2.0,1.6,0.8,2.8,0.8,0.7,0.0,4.0,2.3,LCA,178
Saint Vincent and the Grenadines,2.2,1.4,0.1,1.7,0.7,4.7,0.1,3.0,0.7,2.6,1.4,1.4,6.9,1.2,1.2,1.0,0.4,1.6,0.9,0.4,0.0,2.2,1.0,VCT,110
Samoa,2.3,1.9,0.1,3.6,1.0,4.7,0.0,3.3,0.4,3.1,1.7,2.4,7.8,2.2,1.0,1.9,0.8,2.2,2.1,0.3,0.1,3.2,0.9,WSM,195
Sao Tome and Principe,12.0,5.8,0.6,8.2,3.0,3.7,0.0,0.5,0.9,3.4,1.8,1.9,5.8,2.4,3.7,2.4,0.7,1.4,2.8,0.3,0.1,7.5,1.3,STP,200
Saudi Arabia,201.1,217.6,7.6,394.4,153.5,395.7,19.2,218.1,91.7,743.1,387.0,306.7,1137.1,154.7,148.2,293.5,100.9,453.3,295.0,69.4,17.8,933.6,190.5,SAU,"32,276"
Senegal,1341.5,544.4,90.9,954.4,306.8,244.3,8.8,77.0,94.0,270.3,141.0,152.8,433.1,108.5,170.4,128.1,55.1,109.7,256.8,27.7,15.5,619.2,123.7,SEN,"15,412"
Serbia,29.2,35.0,1.0,42.2,23.3,590.2,13.6,106.1,19.3,188.5,142.7,165.8,1011.0,132.0,98.8,84.6,22.1,160.5,31.7,37.0,0.5,188.0,63.5,SRB,"8,820"
Seychelles,1.1,1.6,0.1,1.1,0.3,4.0,0.0,1.0,0.4,1.9,1.3,1.3,6.6,1.2,1.7,1.8,0.3,1.3,0.7,0.2,0.0,2.2,0.9,SYC,94
Sierra Leone,2093.4,594.6,171.7,767.5,257.4,97.1,3.9,54.6,157.7,131.6,69.0,60.7,438.9,85.9,189.4,98.3,26.0,50.8,167.2,11.0,12.1,430.9,108.5,SLE,"7,396"
Singapore,11.6,92.4,0.4,8.0,6.7,202.6,2.8,22.8,4.1,82.7,37.4,49.6,185.7,30.9,18.3,41.0,13.1,65.0,9.7,13.1,0.2,51.9,25.5,SGP,"5,622"
Slovakia,16.8,42.2,0.4,20.5,10.5,354.1,2.9,39.8,11.9,118.5,98.4,80.5,411.3,41.6,100.0,37.3,15.8,96.4,22.1,18.1,1.1,164.7,34.9,SVK,"5,444"
Slovenia,5.6,10.7,0.2,4.5,3.9,137.3,1.2,14.5,5.5,49.2,28.8,35.2,130.9,16.4,28.3,12.1,5.0,40.3,6.5,11.6,0.1,69.1,15.9,SVN,"2,078"
Solomon Islands,18.2,10.8,0.8,15.3,5.5,13.9,0.1,9.1,1.2,9.6,4.1,6.9,22.9,8.0,3.3,5.0,2.3,5.9,6.1,0.7,0.2,14.0,3.6,SLB,599
Somalia,3838.3,1918.2,272.3,1882.1,549.9,228.1,14.8,76.4,86.9,205.6,103.7,131.0,514.5,118.4,246.6,86.9,51.2,66.9,344.7,14.3,30.1,863.1,532.6,SOM,"14,318"
South Africa,9048.5,1682.3,102.8,1410.9,550.5,1632.6,52.7,1224.5,362.1,1219.1,761.2,708.7,2482.4,835.8,495.5,565.9,197.9,577.2,558.9,130.0,45.6,1517.2,1419.2,ZAF,"56,015"
South Sudan,2902.5,917.6,210.5,1247.8,366.9,303.9,0.1,68.8,51.8,234.0,99.6,147.9,360.0,96.6,157.6,71.4,52.9,82.2,221.0,17.8,9.4,583.0,200.1,SDS,"12,231"
Spain,173.0,221.7,3.4,114.6,56.2,2336.9,77.5,295.9,129.6,1194.6,1114.4,696.3,1921.2,701.1,414.8,330.6,128.7,882.4,108.6,175.9,3.0,667.4,177.3,ESP,"46,348"
Sri Lanka,232.3,161.6,6.6,149.3,75.2,592.4,6.1,401.2,37.4,412.8,303.3,337.2,1172.9,362.1,247.1,224.4,65.3,261.4,131.6,47.9,2.9,534.4,233.4,LKA,"20,798"
Sudan,2995.0,1419.7,229.0,3330.0,584.1,631.9,48.0,283.2,232.2,895.9,466.8,485.1,2575.1,420.3,368.8,423.6,111.1,475.4,729.2,76.2,31.7,1910.9,658.3,SDN,"39,579"
Suriname,13.7,5.5,1.1,10.6,2.7,17.9,0.1,9.8,1.7,13.5,6.9,6.7,32.8,4.6,7.3,7.9,2.3,7.3,4.0,1.7,0.4,14.6,9.6,SUR,558
Swaziland,316.1,60.7,8.4,79.2,21.8,28.0,1.9,26.0,10.0,28.7,16.9,13.2,44.6,17.6,12.1,10.3,5.2,10.5,27.0,2.3,1.6,60.0,28.6,SWZ,"1,343"
Sweden,28.2,49.5,0.6,26.1,8.8,465.5,17.8,86.7,22.8,288.0,233.7,106.1,507.6,132.5,65.1,46.4,30.4,208.9,31.4,40.5,1.8,153.7,66.7,SWE,"9,838"
Switzerland,20.5,34.6,0.5,33.5,15.1,383.8,11.0,44.4,21.0,221.7,197.1,100.2,332.6,92.0,56.3,50.3,23.3,180.6,30.6,43.4,0.7,130.5,52.4,CHE,"8,402"
Syrian Arab Republic,288.4,136.3,19.7,272.0,93.6,442.3,20.9,93.9,51.2,406.8,214.8,209.9,955.7,131.5,84.4,130.4,46.8,206.9,175.4,38.9,4.3,330.1,4454.6,SYR,"18,430"
Tajikistan,224.6,229.1,4.5,414.9,61.5,176.7,28.2,35.7,19.4,152.9,89.1,90.5,413.8,58.0,78.6,52.0,20.3,67.6,118.8,19.1,7.8,256.2,26.7,TJK,"8,735"
Thailand,1695.7,1016.9,12.5,458.8,102.8,2871.9,75.1,789.1,141.6,1525.1,1169.5,1165.4,3031.6,1075.1,909.2,977.8,323.8,1268.0,329.8,180.6,13.7,2290.0,713.8,THA,"68,864"
The former Yugoslav Republic of Macedonia,5.2,6.3,0.2,20.1,6.1,107.5,0.6,29.3,3.4,40.7,24.3,33.5,235.2,23.3,15.1,16.8,4.7,31.4,7.2,7.8,0.5,41.9,9.0,MKD,"2,081"
Timor-Leste,94.4,49.5,4.5,76.2,8.7,27.5,0.2,5.4,2.9,19.0,10.3,17.9,37.4,12.1,9.1,5.2,4.2,9.3,18.1,1.7,1.7,39.9,12.7,TLS,"1,269"
Togo,1314.0,422.4,57.1,567.4,161.1,125.1,5.1,38.5,80.4,143.3,71.7,72.0,319.8,72.6,124.7,65.7,27.2,57.6,141.4,12.7,6.4,363.1,82.5,TGO,"7,606"
Tonga,1.5,1.2,0.1,1.5,0.9,3.4,0.0,2.8,0.3,1.7,1.0,1.2,3.8,1.5,1.0,1.2,0.5,1.2,1.1,0.1,0.0,1.7,0.5,TON,107
Trinidad and Tobago,24.2,10.6,0.8,19.8,5.7,50.8,3.2,61.0,7.9,32.5,19.6,17.1,91.3,14.4,14.0,13.8,4.8,23.4,10.0,5.1,0.3,30.7,44.2,TTO,"1,365"
Tunisia,80.5,87.4,8.5,154.1,17.5,248.2,13.0,142.3,32.3,281.4,201.0,162.6,675.6,100.6,76.5,131.9,32.7,198.1,98.9,34.4,3.8,236.4,35.3,TUN,"11,403"
Turkey,449.0,357.0,16.7,693.1,296.9,3129.9,4.0,888.0,281.7,1877.5,1655.6,1103.9,3575.0,899.5,442.0,815.2,208.0,1437.6,742.4,281.9,12.6,1408.0,536.6,TUR,"79,512"
Turkmenistan,168.1,132.1,2.1,269.8,23.5,175.9,7.3,33.8,18.6,109.3,59.9,56.6,480.3,26.0,112.9,59.3,13.3,51.8,94.0,14.3,5.0,171.4,37.6,TKM,"5,663"
Uganda,6396.6,2002.1,361.5,3045.6,765.9,988.5,30.8,203.1,205.7,775.3,366.9,269.5,939.3,309.8,572.8,219.1,180.2,233.3,745.4,48.7,49.3,1956.3,636.1,UGA,"41,488"
Ukraine,983.8,272.0,10.2,244.7,40.1,2654.3,7.3,222.2,69.8,1713.1,770.2,791.1,7514.8,409.8,874.6,285.6,106.0,823.6,211.5,192.0,6.2,1468.8,583.9,UKR,"44,439"
United Arab Emirates,53.5,23.2,0.9,42.1,36.8,73.1,0.6,83.1,17.1,247.5,95.0,82.5,225.3,65.0,28.1,61.6,22.8,141.2,40.6,21.2,1.5,176.2,37.9,ARE,"9,270"
United Kingdom,177.3,555.6,8.1,247.2,72.0,3452.8,74.3,312.4,153.6,1816.1,1828.2,872.8,2827.1,1106.8,716.8,328.1,211.6,1395.8,223.5,312.0,10.5,901.7,320.6,GBR,"65,789"
United Republic of Tanzania,8233.1,2388.0,636.3,3857.8,1249.5,957.3,31.1,257.3,237.7,984.6,467.6,479.6,1445.2,415.5,607.5,290.4,250.7,343.6,1006.0,54.2,63.3,2617.5,453.8,TZA,"55,572"
United States of America,1699.0,1673.7,47.7,1504.9,289.3,14916.5,361.5,4054.7,1421.9,12667.7,7387.8,3182.2,17309.5,6220.9,3572.2,2927.0,1066.2,6881.0,1464.2,1071.5,131.6,6760.5,3772.7,USA,"322,180"
Uruguay,26.0,24.7,0.7,19.9,7.8,196.1,7.0,28.0,10.4,83.6,61.2,51.7,171.4,56.9,32.0,30.0,11.4,72.4,20.8,12.4,0.8,79.6,43.7,URY,"3,444"
Uzbekistan,387.1,350.7,16.5,713.7,273.2,507.2,36.0,238.8,49.3,567.4,354.6,333.3,2273.9,173.2,404.1,275.6,70.5,303.4,305.4,80.9,8.0,675.6,180.8,UZB,"31,447"
Vanuatu,8.0,4.1,0.3,6.2,3.1,7.3,0.1,3.6,0.5,4.4,1.9,3.2,12.2,3.7,1.5,2.2,1.0,2.8,3.5,0.3,0.1,5.4,1.2,VUT,270
Venezuela (Bolivarian Republic of),478.0,263.3,40.5,469.8,53.3,853.3,86.0,514.3,49.2,595.8,348.5,372.6,1260.2,235.2,246.8,183.6,82.1,350.7,257.5,95.6,1.5,1156.9,1038.9,VEN,"31,568"
Viet Nam,1861.7,753.9,56.4,1364.3,202.3,3275.6,37.4,736.4,198.2,1817.5,1218.7,1381.2,3854.2,1050.2,909.5,571.4,324.3,1208.3,870.8,154.9,26.5,2724.4,594.6,VNM,"94,569"
Yemen,1284.1,926.3,204.1,1850.0,622.8,455.9,28.2,179.8,155.5,607.6,313.4,416.3,1801.7,284.3,210.3,259.6,79.6,282.3,479.2,47.3,56.1,1221.7,608.5,YEM,"27,584"
Zambia,3211.4,731.2,104.2,1213.2,411.1,295.9,14.8,72.6,74.1,294.7,144.2,131.4,382.3,107.0,218.0,87.1,80.6,103.5,281.5,21.8,16.5,713.7,172.7,ZMB,"16,591"
Zimbabwe,2643.3,666.8,177.2,1032.2,408.7,337.0,4.4,134.4,49.6,310.1,147.7,133.6,466.8,139.5,157.6,111.7,58.8,112.7,298.4,24.3,3.9,768.6,250.0,ZWE,"16,150"
