Country,Dark_Years_Both,Dark_Years_Male,Dark_Years_Female
Pakistan,0.13233082706766913,8.100000000000001,9.500000000000007
Panama,0.11025641025641018,7.799999999999997,9.400000000000006
Papua New Guinea,0.11987860394537185,6.899999999999999,8.799999999999997
Paraguay,0.11994609164420493,8.200000000000003,9.699999999999989
Peru,0.11067193675889335,7.6000000000000085,9.099999999999994
Philippines,0.1096681096681096,6.800000000000004,8.399999999999991
Poland,0.11953727506426733,8.399999999999991,9.899999999999991
Portugal,0.1165644171779141,8.299999999999997,10.5
Qatar,0.12163892445582587,8.899999999999991,11.5
Republic of Korea,0.11729141475211612,8.799999999999997,10.5
Republic of Moldova,0.11048951048951047,6.8999999999999915,8.899999999999991
Romania,0.11436170212765968,7.8999999999999915,9.299999999999997
Russian Federation,0.11682892906815028,7.300000000000004,9.700000000000003
Rwanda,0.11911764705882355,7.299999999999997,8.900000000000006
Saint Lucia,0.12169312169312155,8.400000000000006,10.0
Saint Vincent and the Grenadines,0.11944444444444446,7.900000000000006,9.300000000000011
Samoa,0.12117177097203721,7.900000000000006,10.400000000000006
Sao Tome and Principe,0.11644832605531295,7.700000000000003,8.400000000000006
Saudi Arabia,0.12165775401069512,8.0,10.700000000000003
Senegal,0.11976047904191617,7.400000000000006,8.600000000000001
Serbia,0.1166448230668413,8.399999999999991,9.5
Seychelles,0.10368349249658929,6.799999999999997,8.5
Sierra Leone,0.10357815442561205,5.299999999999997,5.699999999999996
Singapore,0.0808202653799759,6.099999999999994,7.400000000000006
Slovakia,0.11757105943152465,8.5,9.700000000000003
Slovenia,0.12855377008652663,9.700000000000003,11.100000000000009
Solomon Islands,0.1293952180028129,8.300000000000004,10.200000000000003
Somalia,0.09747292418772562,4.900000000000006,6.0
South Africa,0.1242138364779874,7.0,8.799999999999997
South Sudan,0.13651877133105803,7.700000000000003,8.300000000000004
Spain,0.11191335740072199,8.099999999999994,10.299999999999997
Sri Lanka,0.11288180610889775,7.699999999999989,9.200000000000003
Sudan,0.1443932411674346,8.699999999999996,10.100000000000009
Suriname,0.11977715877437319,7.700000000000003,9.699999999999989
Sweden,0.12135922330097086,9.099999999999994,10.699999999999989
Switzerland,0.11764705882352938,8.799999999999997,10.700000000000003
Syrian Arab Republic,0.12539184952978058,6.899999999999999,9.400000000000006
Tajikistan,0.10310734463276833,7.0,7.700000000000003
Thailand,0.11523178807947024,7.799999999999997,9.5
Republic of North Macedonia,0.11594202898550739,8.0,9.099999999999994
Timor-Leste,0.13702623906705527,9.099999999999994,9.700000000000003
Togo,0.11056105610561061,6.100000000000001,7.299999999999997
Tonga,0.1239782016348775,7.899999999999999,10.400000000000006
Trinidad and Tobago,0.11838440111420613,7.800000000000004,9.399999999999991
Tunisia,0.12763157894736846,8.799999999999997,10.799999999999997
Turkey,0.13612565445026184,8.899999999999991,11.800000000000011
Turkmenistan,0.09970674486803525,6.0,7.6000000000000085
Uganda,0.12160000000000003,7.300000000000004,7.899999999999999
Ukraine,0.11724137931034483,7.299999999999997,9.5
United Arab Emirates,0.1360103626943005,10.5,10.400000000000006
United Kingdom of Great Britain and Northern Ireland,0.1167076167076167,8.799999999999997,10.299999999999997
United Republic of Tanzania,0.11580594679186226,7.100000000000001,7.799999999999997
United States of America,0.12738853503184713,9.099999999999994,10.900000000000006
Uruguay,0.10765239948119322,7.400000000000006,9.599999999999994
Uzbekistan,0.10788381742738586,6.800000000000004,8.799999999999997
Vanuatu,0.12916666666666662,8.199999999999996,10.399999999999991
Venezuela (Bolivarian Republic of),0.10796221322537113,7.0,9.0
Viet Nam,0.1153342070773263,7.5,10.200000000000003
Yemen,0.15620214395099535,9.299999999999997,11.299999999999997
Zambia,0.12841091492776888,7.600000000000001,8.400000000000006
Zimbabwe,0.11400651465798047,6.899999999999999,7.200000000000003
